id_veiculo,linha,latitude,longitude,timestamp_gps,velocidade,sentido,vista,placa,direcao,ignicao,hodometro,capacidade_pe,capacidade_sentado,id_migracao_trajeto,timestamp_captura
901073,53,-23.002114,-43.366016,2025-10-28 09:54:39-03:00,0.0,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],, ,0,87959.5,0,0,8967,2025-10-28 10:17:03.729613
901048,35,-23.001163,-43.364289,2025-10-28 09:32:06-03:00,16.3,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],,358,1,238040.7,0,0,109,2025-10-28 10:17:03.729613
901065,51,-23.006428,-43.313773,2025-10-28 09:48:12-03:00,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],,266,0,273879.7,0,0,3551,2025-10-28 10:17:03.729613
903031,42,-22.876561,-43.329568,2025-10-23 08:49:20-03:00,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,84,0,227442.0,0,0,9447,2025-10-28 10:17:03.729613
902092,41,-22.916146,-43.361623,2025-10-28 10:16:38-03:00,27.9,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],,27,1,132380.4,0,0,3542,2025-10-28 10:17:03.729613
903032,42,-22.846861,-43.304334,2025-10-28 10:16:52-03:00,29.1,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],,238,1,193775.8,0,0,9447,2025-10-28 10:17:03.729613
901075,53,-23.002667,-43.365747,2025-10-28 10:07:40-03:00,14.3,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],,69,1,308891.5,0,0,8967,2025-10-28 10:17:03.729613
903055,17,-22.901023,-43.553036,2025-10-28 10:16:42-03:00,0.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],, ,1,106099.4,0,0,10580,2025-10-28 10:17:03.729613
902112,41,-22.878326,-43.336343,2025-10-28 10:16:46-03:00,0.0,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],, ,1,131759.4,0,0,3543,2025-10-28 10:17:03.729613
903037,17,-22.916747,-43.633053,2025-10-28 10:16:46-03:00,7.9,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],,249,1,126539.4,0,0,10580,2025-10-28 10:17:03.729613
903002,42,-22.853532,-43.261593,2025-10-28 10:16:43-03:00,35.6,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],,141,1,92219.0,0,0,9449,2025-10-28 10:17:03.729613
901080,53,-22.883757,-43.399657,2025-10-28 09:52:01-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,145,0,274389.7,0,0,8966,2025-10-28 10:17:03.729613
